# x, y coords (in cells) of grain grain_aspect-1.585.txt with roundness = 0.2
2.289778370422556577e+02,-2.186327661625217189e+01
2.234751784461361694e+02,1.899573290928633540e+01
1.863581525818233615e+02,7.162216844349789824e+01
1.793561048257103607e+02,7.941534180105283269e+01
1.289870538424566178e+02,1.236915004146025154e+02
1.229763394910270335e+02,1.281405227054062550e+02
8.965699282548935400e+01,1.487187710755492276e+02
4.441061183363760279e+01,1.496792470299230615e+02
1.330443291889120339e+01,1.322463934062938051e+02
-1.508440407303388753e+01,1.270404648192856030e+02
-5.074401178563159220e+01,1.323601437187840304e+02
-5.948730330367227737e+01,1.327959341421270096e+02
-1.127367235161865580e+02,1.302121606992721183e+02
-1.414474185630044758e+02,1.178545626255504573e+02
-1.783625689839793154e+02,8.245681639628142534e+01
-1.881620838877649931e+02,6.857689902460255382e+01
-2.124625813147279132e+02,1.461592256668834366e+01
-2.148177757561406906e+02,-1.546228627212239992e+01
-2.014308535772106836e+02,-6.443299471320766258e+01
-1.816655636585907132e+02,-9.073094876162824107e+01
-1.281570753469639499e+02,-1.234347636093799139e+02
-1.226040108868043603e+02,-1.274451237299654736e+02
-8.568463537597750701e+01,-1.586885677274220257e+02
-5.168595706565065484e+01,-1.689425354148366978e+02
-5.914832894482754178e+00,-1.635871792414111496e+02
5.889224827115808303e+00,-1.637789907775878930e+02
5.379319081672959157e+01,-1.709684954509918668e+02
8.675846100443739317e+01,-1.628515538670960723e+02
1.290712782402826520e+02,-1.318826279296195594e+02
1.324181713125376234e+02,-1.296574057720074222e+02
1.924772963737530631e+02,-9.351843631826069725e+01
2.114337338247574110e+02,-7.044808151988225120e+01
