# x, y coords (in cells) of grain grain_aspect-1.418.txt with roundness = 0.2
2.275680997162751567e+02,-1.380729876618163310e+01
2.264026354277799271e+02,1.343689360018862367e+01
2.023658660790233341e+02,7.918904415134255714e+01
1.986907847037706745e+02,8.688778505353360515e+01
1.658747330609409971e+02,1.415994979025334146e+02
1.397756831202331682e+02,1.616885723492755744e+02
8.549347333532260507e+01,1.773850830372024632e+02
6.382254911802933606e+01,1.782135595105825132e+02
1.844089280434750178e+00,1.653227809528849548e+02
-1.869684581140796942e+00,1.647110782992558313e+02
-5.855025953294041585e+01,1.577944531149400405e+02
-7.102353013645470980e+01,1.544027025389999039e+02
-1.259666092974526208e+02,1.305504147501102636e+02
-1.325345357269025612e+02,1.282836666584315424e+02
-2.018162182318165492e+02,1.102183216981220681e+02
-2.349266199269245305e+02,5.966545255504603773e+01
-2.261213578967575586e+02,3.682809620089407598e+00
-2.243648897085091676e+02,-3.537341445083001190e+00
-2.043712861818942770e+02,-6.361488053776832885e+01
-1.805252190928573839e+02,-9.027147621369257990e+01
-1.268317334180517832e+02,-1.150561584140787517e+02
-1.127324648488784078e+02,-1.252733005828964963e+02
-8.754061954226139619e+01,-1.523646082975623983e+02
-4.624935431490588655e+01,-1.659491441036519461e+02
-5.139723989397243509e-01,-1.573412671111076406e+02
5.115861836197385104e-01,-1.571358819615156790e+02
5.480308307057710948e+01,-1.456055071919733734e+02
6.455341029668339559e+01,-1.423336677542144173e+02
1.153886384058701111e+02,-1.185106159104160355e+02
1.197322754242310907e+02,-1.167447326622701809e+02
1.854827948607782560e+02,-9.392699551109248546e+01
2.141685059643519651e+02,-6.318851168690419229e+01
