# x, y coords (in cells) of grain grain_aspect-1.481.txt with roundness = 0.2
2.306586173136566345e+02,-1.738243991400655375e+01
2.302453847450422586e+02,1.720557029604297483e+01
2.032389748815417931e+02,7.827518618868187161e+01
1.976667759310514327e+02,8.757152816922696559e+01
1.609060781376014404e+02,1.345883007702934151e+02
1.307049599585024566e+02,1.512456808843361955e+02
7.691265756118838226e+01,1.566891044804273747e+02
5.478183937175226959e+01,1.531885837728312652e+02
1.993867136305642873e+01,1.378537673336630007e+02
-1.905795213415476397e+01,1.396307804320066168e+02
-4.696448024769000540e+01,1.550823728954736964e+02
-9.122160860337116617e+01,1.541060320948962499e+02
-1.296223465781957600e+02,1.305736087270536530e+02
-1.307903121877846502e+02,1.298323346592767393e+02
-1.895911072138326858e+02,9.120188033720336307e+01
-2.064916004996345578e+02,7.021780552064700487e+01
-2.281987701449211272e+02,1.366707066664950965e+01
-2.294484560348893467e+02,-1.408329419895135359e+01
-2.129191195292239058e+02,-7.233171709014423811e+01
-1.971150826916674532e+02,-9.541441731806378357e+01
-1.395985499271811534e+02,-1.388286079324247169e+02
-1.387128838471270740e+02,-1.394798945119084976e+02
-8.651703666272379678e+01,-1.768661757986175758e+02
-6.374402512941725263e+01,-1.849961959451612756e+02
-1.017530364752091998e+01,-1.884420347847009793e+02
9.424247892491409928e+00,-1.852044251615930079e+02
6.232230561077023623e+01,-1.633579342264289096e+02
7.091534950665850090e+01,-1.586245281011778729e+02
1.191815399744583317e+02,-1.245065917401102951e+02
1.257547972099333862e+02,-1.206673921879082201e+02
1.877118124988999739e+02,-9.135407936531032647e+01
2.095257773790260387e+02,-6.843403255570606802e+01
