# x, y coords (in cells) of grain grain_aspect-1.529.txt with roundness = 0.2
2.192883124606506726e+02,-1.133724973635785993e+01
2.182277758295118986e+02,1.105853813831133436e+01
2.013325290643495009e+02,6.485388624417235803e+01
1.812816525727180306e+02,8.984909069393178527e+01
1.243690076274276493e+02,1.226590179167911003e+02
1.221659272421206168e+02,1.238471046989963753e+02
7.174315493013617129e+01,1.492195704199487238e+02
5.433303813378456937e+01,1.538602370760069959e+02
1.579434123659599898e+00,1.567533404112093081e+02
-1.569171311932872737e+00,1.570394999194953982e+02
-5.564113717183021635e+01,1.639154513990503403e+02
-8.032831591414716854e+01,1.599064019184137919e+02
-1.308071888872395903e+02,1.356180481030452825e+02
-1.370064235603118448e+02,1.319857834163095731e+02
-1.942894175449464740e+02,9.181771750544595534e+01
-2.094102978505566739e+02,7.330231331326022826e+01
-2.324991256093490222e+02,2.023603050812180726e+01
-2.303867815650508533e+02,-1.917911201848320957e+01
-1.975422867070085431e+02,-7.688111327862932853e+01
-1.938632346089431735e+02,-8.526585861770536212e+01
-1.775178819182807501e+02,-1.363815162375003638e+02
-1.348305582396797888e+02,-1.670484144521879557e+02
-7.474407805871989297e+01,-1.661258214658959957e+02
-6.304241163929131631e+01,-1.643582645494117003e+02
-1.613780502294538977e+01,-1.506426592382450167e+02
1.518389972746217254e+01,-1.531449630713148906e+02
3.372206501897787234e+01,-1.619614404852630969e+02
9.325999751886595845e+01,-1.393749312541469578e+02
9.825537171806941217e+01,-1.276151914243275769e+02
1.288093852939178987e+02,-1.019117868908397355e+02
1.764722944380654042e+02,-9.076834533991598164e+01
2.095710968100069351e+02,-5.700088327972991920e+01
