# x, y coords (in cells) of grain grain_aspect-1.470.txt with roundness = 0.2
2.354167211106904745e+02,-1.908643325985007166e+01
2.286820536163064332e+02,1.634339783202855756e+01
1.931207906512386501e+02,7.126279939144876607e+01
1.867551164086913502e+02,8.612304285472237098e+01
1.778745989762792306e+02,1.232447001387744763e+02
1.227466321371310869e+02,1.591396518198504850e+02
7.667831517828126664e+01,1.506777394635439009e+02
4.712242604901267384e+01,1.547116251131762112e+02
2.024706155658489948e+01,1.677917389122520717e+02
-2.049135669532156001e+01,1.683103613675026509e+02
-5.448427472509476388e+01,1.528237431527582260e+02
-7.002025806700159194e+01,1.487141359735782657e+02
-1.189767884919890264e+02,1.443104145334810937e+02
-1.548677663299370977e+02,1.226077186045629333e+02
-1.827295750966762569e+02,7.940556485266579045e+01
-1.869185884377043578e+02,7.384540471591624566e+01
-2.250466139007264132e+02,3.024596182102323638e+01
-2.262512953610711293e+02,-3.125852438027364144e+01
-1.891277915839671948e+02,-7.722394460378284009e+01
-1.878160317043721648e+02,-7.892494452883326517e+01
-1.496393536866400211e+02,-1.307994863713476263e+02
-1.291730186738287216e+02,-1.467360082613435850e+02
-8.405687803567987260e+01,-1.651150337459378363e+02
-5.647411738782331980e+01,-1.676843044947315775e+02
-1.240983271290606993e+01,-1.587022260924244108e+02
1.203442067277331518e+01,-1.601192035969489780e+02
5.744521455438430024e+01,-1.750113476575894538e+02
9.162476751423351118e+01,-1.733296956139890881e+02
1.428361044335168515e+02,-1.507535284616533602e+02
1.530561780961573959e+02,-1.446247867946439669e+02
2.069510976309400405e+02,-1.023500840996739925e+02
2.243085404420375255e+02,-7.418452390208298652e+01
