# x, y coords (in cells) of grain grain_aspect-1.505.txt with roundness = 0.2
2.209622152668296735e+02,-1.353598760202010887e+01
2.258810149211205101e+02,1.550709902651543359e+01
2.158342985979733157e+02,6.187725943765664738e+01
1.850381305055429380e+02,9.229168470825742077e+01
1.101884723712771574e+02,1.075340288506232298e+02
1.058428710079010955e+02,1.086792279638099643e+02
5.917938860557261194e+01,1.238562157809264050e+02
4.655803269249513932e+01,1.306981735361761707e+02
8.415888534658465758e+00,1.614826040047208835e+02
-1.070029570441376698e+01,1.698460758169744906e+02
-5.855011735045285803e+01,1.768714381428729894e+02
-8.714707587336896211e+01,1.700361575852535054e+02
-1.357021451409389101e+02,1.357361419776145226e+02
-1.357419737105874731e+02,1.357079696930262855e+02
-1.963269575827502536e+02,9.279785022079836665e+01
-2.107487264304791097e+02,7.375135861181263408e+01
-2.329032007653446499e+02,1.144372069634730060e+01
-2.339244723094410290e+02,-1.175699155045212052e+01
-2.187801978967554817e+02,-7.017796342523669750e+01
-1.965757204250824657e+02,-9.640567568221862871e+01
-1.286084994385759899e+02,-1.267092228527322249e+02
-1.260272520463272912e+02,-1.279743359677276970e+02
-7.278647793634112872e+01,-1.565104932254752441e+02
-5.894200398892022008e+01,-1.609077490458043087e+02
-7.358364055531398940e+00,-1.672880589038227583e+02
7.189116209031274352e+00,-1.663842326115520791e+02
6.300270909105679351e+01,-1.523012344821669615e+02
6.315207228311809473e+01,-1.522632375083551324e+02
1.217332118884944947e+02,-1.372391464304975273e+02
1.422536816187101181e+02,-1.243063074430397563e+02
1.810174300678572195e+02,-7.801569151593710671e+01
1.844388357393189324e+02,-7.325366895212411578e+01
