# x, y coords (in cells) of grain grain_aspect-1.353.txt with roundness = 0.2
2.072542345699126258e+02,-4.095709905439939291e-01
2.074097003454353967e+02,4.111374822272347296e-01
2.183483669655573749e+02,6.151727022843152781e+01
1.952389999067495694e+02,1.063071990300067995e+02
1.364963560906286091e+02,1.340345613321124176e+02
1.330879061434971788e+02,1.354612877046804726e+02
6.634073119053495304e+01,1.599651756223883297e+02
6.620023211101099037e+01,1.600170431535420050e+02
1.375755048934306224e+01,1.794848384428326824e+02
-1.390641032381878439e+01,1.799053187367956923e+02
-6.631128357981880583e+01,1.622443362200199033e+02
-6.788756572609209172e+01,1.617478769375980221e+02
-1.373470391322604769e+02,1.413839812292470697e+02
-1.434094986615052960e+02,1.390777677208290299e+02
-1.967075682331334008e+02,1.138672510532050239e+02
-2.169046379396342559e+02,5.965620424085939533e+01
-1.942860744933742012e+02,8.417259649480209660e+00
-1.907649373923420910e+02,-9.198832859247984217e+00
-1.918632196246156809e+02,-6.113663847681915797e+01
-1.787460057197747290e+02,-9.227727336985840623e+01
-1.403868709191286825e+02,-1.281787848274604755e+02
-1.259423267965963333e+02,-1.369730953519065793e+02
-7.283024398039746927e+01,-1.558482066785383040e+02
-5.796263398184793658e+01,-1.582296293901924855e+02
-3.360810635355218956e+00,-1.569293279210533854e+02
3.303992371793535110e+00,-1.562287380132355281e+02
5.780098015150549884e+01,-1.459931323075655598e+02
6.279619761370671682e+01,-1.453660005729620650e+02
1.226515865732498582e+02,-1.415222496768755605e+02
1.517860037210597852e+02,-1.267562523617559123e+02
1.846976637055773267e+02,-8.742287137278569276e+01
1.935544901414567391e+02,-6.894722661209057435e+01
