# x, y coords (in cells) of grain grain_aspect-1.475.txt with roundness = 0.2
2.249065404231444347e+02,-1.326861949537244278e+01
2.232405609031064841e+02,1.276400325074255448e+01
2.035354733016264106e+02,6.543128711532774844e+01
1.818858802683419640e+02,8.972116184816989914e+01
1.249145752488801264e+02,1.188643966883442857e+02
1.165832589032414006e+02,1.221269363831196415e+02
6.052281662060689627e+01,1.378625526738999270e+02
5.430786309952031132e+01,1.391422959757076967e+02
1.672250851258365145e+00,1.461577100428034157e+02
-1.684246079610782987e+00,1.464776201749288873e+02
-4.716731755643311175e+01,1.490978644048546755e+02
-7.459823012653576768e+01,1.416918061554346195e+02
-1.148244005549474736e+02,1.150513866922250230e+02
-1.150968430444640518e+02,1.148695271681855701e+02
-1.650361871003397027e+02,8.127082261403484154e+01
-1.819896597247660566e+02,5.989507110428866099e+01
-1.992899514067836719e+02,1.427823345372039476e+01
-2.003104543029286049e+02,-1.462459159698649280e+01
-1.862441958179634582e+02,-6.143558945499292889e+01
-1.704496008216489429e+02,-8.425554462768189978e+01
-1.246831806842709085e+02,-1.191805104352852140e+02
-1.180758602901207013e+02,-1.233673251282051524e+02
-7.435887977881523625e+01,-1.460030015135606618e+02
-5.009643473616168308e+01,-1.508989332896181850e+02
-8.585396576125523538e+00,-1.475903685129768519e+02
8.231173441349014297e+00,-1.494408552342584073e+02
4.354743032235192857e+01,-1.603164145715549580e+02
8.893066460669834328e+01,-1.488010267254190353e+02
1.114014079081727857e+02,-1.258616907618520742e+02
1.281668075207097104e+02,-1.150624477753684118e+02
1.849643846187800875e+02,-9.440880889073633853e+01
2.133944294624341182e+02,-6.239093510375708007e+01
