# x, y coords (in cells) of grain grain_aspect-1.546.txt with roundness = 0.2
2.265637232896839919e+02,-1.237977677576457580e+01
2.224998455792973857e+02,1.131863121352015256e+01
1.958219685194541455e+02,7.022602716033100023e+01
1.841637707742288796e+02,8.609378253591954433e+01
1.472745065936854303e+02,1.190239693678681903e+02
1.123853369701184164e+02,1.310026265036072175e+02
7.540197624798091169e+01,1.285096824598963110e+02
3.713879280943962158e+01,1.438166120706681284e+02
1.512042455191615176e+01,1.678146568238014993e+02
-2.233713727845681518e+01,1.831690322940477529e+02
-5.419416602829658558e+01,1.815638114622448995e+02
-8.810097204165066387e+01,1.648049373834438995e+02
-1.155876341541998187e+02,1.323727202579531195e+02
-1.343591116566543064e+02,1.189002070726569684e+02
-1.899374886501021251e+02,9.687659475147643207e+01
-2.184658538970527957e+02,6.459498868728536536e+01
-2.332596558499940613e+02,7.608416231050239453e+00
-2.346581285920242124e+02,-7.839430896373349889e+00
-2.301905843416456321e+02,-6.857115740866804288e+01
-2.053566562809371021e+02,-1.069435313874516424e+02
-1.498126608835839306e+02,-1.369594446846646747e+02
-1.320333255724226831e+02,-1.424339884964775820e+02
-6.577279479249241945e+01,-1.492137352415352893e+02
-5.827350292702486456e+01,-1.505952382564940422e+02
-1.176241980174221524e+01,-1.630870924358786169e+02
1.183379572236775523e+01,-1.633659621610487989e+02
6.069582096460017340e+01,-1.514733097814348071e+02
6.437160087199883662e+01,-1.504205517899657991e+02
1.273011059996005514e+02,-1.296275363570212846e+02
1.307485132541673920e+02,-1.283385481524387899e+02
1.932423790288515875e+02,-1.021748117103261251e+02
2.222767948072646789e+02,-6.234872568053692987e+01
