# x, y coords (in cells) of grain grain_aspect-1.672.txt with roundness = 0.2
2.175758989265266621e+02,-2.059291083641820919e+01
2.125512683642400873e+02,1.799445724282321279e+01
1.774766811520252361e+02,6.852708769335853844e+01
1.713148418342241825e+02,7.558674777354460161e+01
1.301975044785866089e+02,1.133087177491804027e+02
1.096564090355267780e+02,1.236733222333041624e+02
6.480621251822071827e+01,1.324036093828863443e+02
4.647283363554593905e+01,1.319274069242459007e+02
1.689008289755163261e+01,1.245565709937064867e+02
-1.496857396143605357e+01,1.292323120564105068e+02
-3.560999278881583052e+01,1.414833032855305248e+02
-8.927951412962268307e+01,1.327499461742298195e+02
-1.033322928733234676e+02,1.164842150179285625e+02
-1.179237589954212240e+02,1.055845750953097877e+02
-1.632989859226848921e+02,8.505500160500950813e+01
-1.874666396660311136e+02,5.428857817518387918e+01
-1.976688889633735755e+02,7.169368288845737874e-03
-1.976715864138046754e+02,-7.168903715478018752e-03
-2.088944765869023286e+02,-5.960584075278737259e+01
-1.888100188923966698e+02,-1.039143055482033446e+02
-1.405137439569409139e+02,-1.324394419741125546e+02
-1.297356038328411501e+02,-1.369355261946230655e+02
-7.622065521444933722e+01,-1.509943480084786529e+02
-5.181296941580394844e+01,-1.501262090852756899e+02
-1.761955775241253619e+01,-1.384901013182391694e+02
1.633327906140478447e+01,-1.414173817268767266e+02
5.454830579889409137e+01,-1.622951675815534998e+02
8.859317326476056564e+01,-1.651910117835722360e+02
1.336454510331188885e+02,-1.497440922074746652e+02
1.533942546311648414e+02,-1.356143478487252594e+02
1.915915146950872270e+02,-8.629915267545545987e+01
1.979256956861998447e+02,-7.479780992380482019e+01
