# x, y coords (in cells) of grain grain_aspect-1.450.txt with roundness = 0.2
2.325319252390686131e+02,-1.879491536745376834e+01
2.376921141815722649e+02,2.181163030263537905e+01
2.145406874684459240e+02,7.617107757437375426e+01
2.002983996999700764e+02,9.363369169920719060e+01
1.458098857940892970e+02,1.313189120295389500e+02
1.268824182798887392e+02,1.383068064984693137e+02
6.551156071673074166e+01,1.446047001501633247e+02
5.507429848756815716e+01,1.471033718077682977e+02
1.374800237558794080e+01,1.630226520429545474e+02
-1.394132488835910877e+01,1.635547778529408731e+02
-5.656252044892033837e+01,1.489911640751072639e+02
-6.582294707392134114e+01,1.469961154522229378e+02
-1.150969408036799138e+02,1.422945300295077118e+02
-1.490110174727667243e+02,1.166978784172642776e+02
-1.670791930728058503e+02,7.050586563377321170e+01
-1.680193817176847801e+02,6.829725949020105702e+01
-1.945688290015734196e+02,1.072057663138725125e+01
-1.979290210759801880e+02,-1.169878258996300247e+01
-1.906725024540733102e+02,-6.531882701385825385e+01
-1.799546090787262642e+02,-8.773932789544340949e+01
-1.462557323856536016e+02,-1.233846368574055248e+02
-1.189862905640048041e+02,-1.360183347904957429e+02
-6.326855109947445044e+01,-1.390436496820455545e+02
-5.245438187254423212e+01,-1.411285449595978889e+02
-1.222149916058367580e+01,-1.547597141879506069e+02
1.236701094048492955e+01,-1.552170051773196064e+02
5.602115086092508989e+01,-1.422149009357865168e+02
6.123797109287947649e+01,-1.410293124991906666e+02
1.180383024966193375e+02,-1.320110605730684199e+02
1.390934257504202947e+02,-1.218428791343831108e+02
1.847355363416826322e+02,-7.997104918437426591e+01
1.894708420972725946e+02,-7.480520000906885514e+01
