# x, y coords (in cells) of grain grain_aspect-1.350.txt with roundness = 0.2
2.371427624969645080e+02,-3.131562666523943861e+01
2.315259442603708919e+02,2.623985203222157736e+01
1.805707711732938492e+02,7.264267344110841407e+01
1.774806256332349506e+02,7.575874527846031015e+01
1.340871600235903713e+02,1.242164741105549410e+02
1.233545285225015533e+02,1.328917359040040651e+02
7.865011248735103777e+01,1.584339998865038694e+02
5.599334601275447199e+01,1.640964978070468874e+02
4.815774386432270404e+00,1.625977464452442405e+02
-4.665926787023381372e+00,1.612564233238383338e+02
-5.937216835699702244e+01,1.471834539539674438e+02
-6.227385059821050106e+01,1.465427193224778932e+02
-1.240657561081461751e+02,1.351152898854806210e+02
-1.411321418989261645e+02,1.279134412416322135e+02
-1.840742214842636031e+02,9.753015482699569816e+01
-2.022667020985950899e+02,6.087544135345256535e+01
-2.003026205217088886e+02,2.491312499265325275e+00
-1.998485164051522247e+02,-2.465064672827262715e+00
-1.894974067953265262e+02,-7.137276453424063050e+01
-1.854762429939030710e+02,-8.414595156684809751e+01
-1.638996951783157670e+02,-1.275993979002470127e+02
-1.247755478612019289e+02,-1.515426751804371293e+02
-7.292561108993713503e+01,-1.509437437486567433e+02
-5.312509121902208875e+01,-1.555017744816199752e+02
-1.060745429321429079e+01,-1.767826584510262080e+02
1.183056124417561250e+01,-1.812294214316326020e+02
6.490494757442696994e+01,-1.773602034083915271e+02
8.069972897132286960e+01,-1.730973998723607679e+02
1.356487894184397476e+02,-1.462524495360760568e+02
1.481923266603020863e+02,-1.369861780133227853e+02
1.975148777241397795e+02,-8.433198695590172633e+01
2.006946041933865956e+02,-8.051950424894562275e+01
