# x, y coords (in cells) of grain grain_aspect-1.443.txt with roundness = 0.2
2.416553724890264903e+02,-2.205136249880263577e+01
2.482244775921523399e+02,2.724532218672828776e+01
2.174489943877792086e+02,7.899099001481812365e+01
2.032346393021971380e+02,9.310290181823290823e+01
1.351463473851985100e+02,1.329342348238878913e+02
1.322938146389257668e+02,1.344521002528865949e+02
7.368363088077177281e+01,1.626699567734453638e+02
6.266959417217459816e+01,1.661280742294607649e+02
3.786161584795725510e+00,1.756159193020333475e+02
-3.833156973646698162e+00,1.761072281847330885e+02
-6.531021348589021613e+01,1.742026464751524770e+02
-7.838767206057562476e+01,1.715776956291297779e+02
-1.315415743645611713e+02,1.512535350264480485e+02
-1.528228367899006912e+02,1.322453388621738100e+02
-1.819983325763920163e+02,7.591992505709384886e+01
-1.824643743351253988e+02,7.504675943313355901e+01
-2.170537169863860072e+02,1.212320151457403306e+01
-2.214878025257056038e+02,-1.365320255874688016e+01
-2.111611831591444854e+02,-7.687553465029330368e+01
-2.034332704937630467e+02,-9.477663812693100454e+01
-1.698322088512660173e+02,-1.386883291927654795e+02
-1.342144282999130667e+02,-1.542384783735600138e+02
-7.533617574030729713e+01,-1.486663068401170449e+02
-4.910383584762013243e+01,-1.553661923052160887e+02
-9.679777454074624643e+00,-1.820192100335718521e+02
1.167996443549021635e+01,-1.888824831133345299e+02
7.267802141401998028e+01,-1.905493096118117933e+02
8.506754246064473080e+01,-1.889405397518997631e+02
1.426945237344221482e+02,-1.720214055842715766e+02
1.705250981563109747e+02,-1.423078879165769024e+02
1.825845601355247823e+02,-8.841795174376272826e+01
1.938198480412707170e+02,-6.837080169124989482e+01
