# x, y coords (in cells) of grain grain_aspect-1.514.txt with roundness = 0.2
1.894546970794833385e+02,-2.500104968454083121e+01
1.913896933543586840e+02,2.388086381490701982e+01
2.107580212972848415e+02,5.447855863982803726e+01
1.924385844770717426e+02,1.236912823288489278e+02
1.510317376554965563e+02,1.457222389850596187e+02
1.438504545906861551e+02,1.488326236657152322e+02
8.520311415548603406e+01,1.688223463195338070e+02
5.806708227256777377e+01,1.700868302639209446e+02
7.909598995473139382e+00,1.580584088325010441e+02
-8.097333404296740866e+00,1.569315799827583078e+02
-4.133701937385841774e+01,1.600924285531696682e+02
-8.382312661187550873e+01,1.423094160980259062e+02
-1.021729693708236653e+02,1.197648481869687913e+02
-1.216505704948624640e+02,1.053572737685822602e+02
-1.607231325422984582e+02,8.947245649354682939e+01
-1.910048347688628780e+02,4.810746168716566729e+01
-1.944912192513880598e+02,4.169999714129583701e+00
-1.958575428214425926e+02,-4.052930782003087096e+00
-2.095625869578086906e+02,-5.769741203353921577e+01
-1.904471562173965253e+02,-1.096449374030216859e+02
-1.531604218753283249e+02,-1.360101535350815709e+02
-1.309006704525376676e+02,-1.446077072935103729e+02
-6.692238178356059564e+01,-1.524326326353230456e+02
-5.982633319361942625e+01,-1.538405095414863979e+02
-1.391007907244957664e+01,-1.665490662309101140e+02
1.376749229306609301e+01,-1.660667496086887525e+02
5.937537639699825576e+01,-1.517150257090043510e+02
6.535678806385081430e+01,-1.493906901271866730e+02
1.191299475471873990e+02,-1.243112686686604604e+02
1.264134577952388554e+02,-1.215970289266752360e+02
1.676096908359438089e+02,-1.098834618289487111e+02
1.974437848919008047e+02,-4.015367738660739150e+01
