# x, y coords (in cells) of grain grain_aspect-1.487.txt with roundness = 0.2
2.201113428950702087e+02,-1.885075562921007020e+01
2.224025113218683316e+02,2.014678754125123916e+01
2.010443098384862992e+02,6.368094781323874543e+01
1.755111931858039043e+02,8.457623100571127850e+01
1.182893069147126539e+02,9.961371258618508762e+01
9.514554686013526918e+01,1.163073252084782894e+02
7.672117520908750521e+01,1.445507504327161428e+02
4.766309480697224643e+01,1.623274862443166455e+02
9.210126348375652583e+00,1.663906510398662419e+02
-8.689017530001667211e+00,1.641584587965386390e+02
-5.936745532192044550e+01,1.454631287731635041e+02
-6.089110112551891518e+01,1.448650628687082929e+02
-1.179345941807373777e+02,1.211047058803594751e+02
-1.225073289813062587e+02,1.195198026724785763e+02
-1.959427153426975678e+02,9.898965607785859788e+01
-2.246752735534788030e+02,6.529769664564997811e+01
-2.316866137559601668e+02,4.087312410893944481e+00
-2.317743049382185063e+02,-4.096406191837367317e+00
-2.262006319309647608e+02,-6.410334621295487523e+01
-1.956781641774245770e+02,-9.907639392074088391e+01
-1.228191156014231353e+02,-1.160063585995394106e+02
-1.123446489378116837e+02,-1.200739783305464101e+02
-6.621662837319190942e+01,-1.460282339299157286e+02
-5.639765582549097189e+01,-1.499376556565695751e+02
-1.818756626558691858e+00,-1.636017083476640437e+02
1.853592608775080919e+00,-1.643388188929408500e+02
6.514234347463558095e+01,-1.739597756877554673e+02
7.980305348862910364e+01,-1.734450057125022511e+02
1.344687196859662492e+02,-1.611599913621371627e+02
1.633761930013466497e+02,-1.350882558813920866e+02
1.816755170779390767e+02,-8.062132669253848860e+01
1.859564504324077063e+02,-7.173186490785062119e+01
