# x, y coords (in cells) of grain grain_aspect-1.636.txt with roundness = 0.2
2.291930497723397764e+02,-1.802110918763483483e+01
2.302655761928699860e+02,1.853101600053766518e+01
2.070945584923290710e+02,7.119886109592452783e+01
1.901331117174836720e+02,9.050077762017134830e+01
1.344700377790874768e+02,1.241219807235538752e+02
1.206217693743410564e+02,1.294643518211028095e+02
6.191983186657643046e+01,1.409371981359396386e+02
5.550668677016658847e+01,1.427207111605467276e+02
2.264521842190259804e+01,1.546970031754727870e+02
-1.873202065915062065e+01,1.477832860869846172e+02
-3.560531066083609630e+01,1.341215222931307380e+02
-6.949810416918190015e+01,1.252291012719504977e+02
-1.170350474309204429e+02,1.332637531075864956e+02
-1.516714835225874936e+02,1.237551372555113147e+02
-1.838268905342181938e+02,9.648975405195308497e+01
-1.988083825904629691e+02,6.171618102589532384e+01
-1.955765632231142490e+02,1.827650085541512315e+00
-1.955364953041808747e+02,-1.829372287455821144e+00
-1.971452330646799282e+02,-5.208584552397372391e+01
-1.702092324203081262e+02,-9.306100764154001581e+01
-1.151810436267682434e+02,-1.147669360455867178e+02
-1.145853844318014580e+02,-1.149967493460111143e+02
-5.735663075002567268e+01,-1.365848973207473307e+02
-5.601420362599137803e+01,-1.371174699518311400e+02
-2.218992298358156035e+01,-1.512048085037058343e+02
1.937820612614758176e+01,-1.462237832267264253e+02
3.851526443865499516e+01,-1.321779589186034229e+02
6.637784254164465381e+01,-1.240074014006094671e+02
1.134129470216623616e+02,-1.269584826401264763e+02
1.398742866591163931e+02,-1.197736279886882755e+02
1.876016144482137236e+02,-8.761521694089060475e+01
2.017119763909202845e+02,-7.170457377732510906e+01
