# x, y coords (in cells) of grain grain_aspect-1.442.txt with roundness = 0.2
1.924782969147098299e+02,-1.313388562661297998e+00
1.921489383884058952e+02,1.303364264162983455e+00
1.824559207509800274e+02,6.308079549601411884e+01
1.730514259908921133e+02,8.396906192139414316e+01
1.455575042455378139e+02,1.172506234851125555e+02
1.126467328564364010e+02,1.329875715952923940e+02
6.789799130953286976e+01,1.335121277138289884e+02
4.484193720209893286e+01,1.404735001359538558e+02
1.158016363851023556e+01,1.620161704274067347e+02
-1.378490416855341749e+01,1.689430937453563502e+02
-4.526244358759629449e+01,1.676341868434691946e+02
-8.095939485021096971e+01,1.460705057615044495e+02
-9.641625121136499388e+01,1.194175667416181739e+02
-1.209138822873419912e+02,9.981182950642862295e+01
-1.746583839734711603e+02,8.291559426375033581e+01
-1.976435608921667892e+02,6.573052461625873377e+01
-2.264427864035855009e+02,2.284728199624835909e+01
-2.276369797833523307e+02,-2.360548002350853380e+01
-1.977431287911332447e+02,-7.347738641428537676e+01
-1.875300563675929766e+02,-8.512951733682812971e+01
-1.386868113149971293e+02,-1.239394338210381932e+02
-1.201745866640386851e+02,-1.325162031219276741e+02
-6.200008333149985162e+01,-1.440845321753438100e+02
-5.776995392585096312e+01,-1.451494998523579909e+02
-6.940664563970509349e+00,-1.607042263268557178e+02
7.253974565458038093e+00,-1.625753232571471187e+02
6.095932815855152853e+01,-1.607031213435220707e+02
7.178655645029861887e+01,-1.589366344500192838e+02
1.294218949888315819e+02,-1.418248395254438776e+02
1.463456541238291493e+02,-1.322511325989059401e+02
1.843026121349271875e+02,-9.752196008885263723e+01
1.981941467701271904e+02,-6.143886717636918604e+01
