# x, y coords (in cells) of grain grain_aspect-1.566.txt with roundness = 0.2
2.253109592730921236e+02,-2.109704850018249900e+01
2.250415625231131287e+02,2.093865505281587147e+01
1.936846980439768799e+02,7.349679680912478830e+01
1.857913159113799679e+02,8.309357354987135125e+01
1.393505117605830037e+02,1.248298978153236192e+02
1.217301791435211982e+02,1.342068594669557910e+02
6.997655483810657984e+01,1.472015392650999388e+02
5.351209787716592814e+01,1.479585449303208691e+02
1.159673058679281787e+01,1.414473327474534869e+02
-1.082093748235685560e+01,1.441886407841372773e+02
-4.559004787675028325e+01,1.587851518420277159e+02
-8.959159083784419408e+01,1.511840584881905727e+02
-1.212488541802012350e+02,1.223022574075191073e+02
-1.223321285741549502e+02,1.212776701028726478e+02
-1.683722401752775681e+02,7.613626305709875908e+01
-1.759674991863208220e+02,6.596994240026657508e+01
-2.058318687575430488e+02,9.713543334627111392e+00
-2.106538802770716359e+02,-1.099231555103994928e+01
-2.089176211745961211e+02,-6.804284001994652442e+01
-1.945090111344856609e+02,-9.822108748066904127e+01
-1.597295618257200829e+02,-1.281349528786099086e+02
-1.212148327679441877e+02,-1.365456157063433125e+02
-7.078293104820694737e+01,-1.220257130481761862e+02
-3.056748857218622462e+01,-1.319832143455843436e+02
-1.769314962981068007e+01,-1.443619195740661212e+02
2.342619595425286505e+01,-1.540480014957174433e+02
5.654892989109471557e+01,-1.436897464743538251e+02
6.189214854707031321e+01,-1.424004670299826785e+02
1.195258689995522587e+02,-1.324808201501722635e+02
1.391656985424478989e+02,-1.233646683005552802e+02
1.859977877510285396e+02,-8.402258409936607109e+01
1.952059229352271927e+02,-7.305924496484449548e+01
