# x, y coords (in cells) of grain grain_aspect-1.477.txt with roundness = 0.2
2.322253778487321938e+02,-1.071809786715449242e+01
2.367251974420462659e+02,1.199251267784308084e+01
2.322507915238158205e+02,6.753597436260301379e+01
2.036926406059101282e+02,1.043071260000608618e+02
1.339108854847276575e+02,1.282484910564651273e+02
1.252705803856863298e+02,1.302348374336449979e+02
6.456059181992974061e+01,1.376432210167945698e+02
5.088848757812228740e+01,1.417256453044805937e+02
6.000797166506695035e+00,1.639040797515158658e+02
-6.621742155019975762e+00,1.678451279276947901e+02
-4.191919395615391863e+01,1.730484315778754763e+02
-8.681953253800264747e+01,1.485310824409049815e+02
-9.620350304516695417e+01,1.277881587013390003e+02
-1.297321243808611939e+02,1.031331736319561259e+02
-1.806620261722687246e+02,9.688078366206750047e+01
-2.177731415081812543e+02,5.066111084862425429e+01
-2.132784113475317440e+02,3.785562353030690108e+00
-2.118858378820254700e+02,-3.660899571490809468e+00
-1.921412544302916672e+02,-7.386650120684527110e+01
-1.880393735659609149e+02,-8.360072079179606419e+01
-1.626573466884006223e+02,-1.275781326147216248e+02
-1.241600661972930482e+02,-1.487898815857180068e+02
-6.773719823725008382e+01,-1.465244924189266271e+02
-5.371179462577364916e+01,-1.483163246611519241e+02
-1.323519696562339654e+01,-1.605832773723625451e+02
1.306001847248310277e+01,-1.600451704856800177e+02
5.545733924324918718e+01,-1.452768888364618078e+02
6.391006316067550586e+01,-1.432730862053447822e+02
1.216502704989383687e+02,-1.357043354650861033e+02
1.436275317951499062e+02,-1.259637611399893160e+02
1.897563430198407843e+02,-8.678963602431704771e+01
2.001021630789000199e+02,-7.370861193383338161e+01
